total_packets,successful_packets,failed_packets,total_latency_ms,total_hops,total_throughput_kbps,qos_met_packets,routing_overhead,avg_latency_ms,avg_hops,pdr,packet_loss_rate,avg_throughput_kbps,qos_satisfaction,episode,packets_processed
10,6,4,451.54398504194836,71,21152.448995802413,2,131,75.25733084032473,11.833333333333334,0.6,0.4,3525.4081659670687,0.2,35,360
10,10,0,682.6913633127143,102,376709.35710171476,8,102,68.26913633127143,10.2,1.0,0.0,37670.93571017148,0.8,36,370
10,9,1,705.9074137159512,106,259133.5489743848,7,121,78.43415707955013,11.777777777777779,0.9,0.09999999999999998,28792.61655270942,0.7,37,380
10,5,5,331.0270278011882,49,160141.0862851738,3,124,66.20540556023764,9.8,0.5,0.5,32028.21725703476,0.3,38,390
10,6,4,424.6657134578465,66,161884.00357315826,6,126,70.77761890964108,11.0,0.6,0.4,26980.667262193045,0.6,39,400
10,9,1,545.1190017907276,83,365048.09015999665,7,98,60.568777976747505,9.222222222222221,0.9,0.09999999999999998,40560.89890666629,0.7,40,410
10,8,2,510.7196504881609,79,180454.8476780934,7,109,63.83995631102011,9.875,0.8,0.19999999999999996,22556.855959761677,0.7,41,420
10,7,3,547.2359627789297,81,168777.271504111,5,126,78.17656611127566,11.571428571428571,0.7,0.30000000000000004,24111.03878630157,0.5,42,430
10,8,2,558.2428330884528,83,536819.9938362106,8,113,69.7803541360566,10.375,0.8,0.19999999999999996,67102.49922952632,0.8,43,440
10,7,3,379.7593369836401,56,341981.97938224155,6,101,54.25133385480573,8.0,0.7,0.30000000000000004,48854.56848317736,0.6,44,450
10,9,1,706.6991708253312,106,81346.57306467279,6,121,78.52213009170346,11.777777777777779,0.9,0.09999999999999998,9038.508118296977,0.6,45,460
10,9,1,616.2448638345855,93,614258.4219183767,6,108,68.47165153717617,10.333333333333334,0.9,0.09999999999999998,68250.93576870853,0.6,46,470
10,8,2,558.5005166893648,81,1272100.1978306847,5,111,69.8125645861706,10.125,0.8,0.19999999999999996,159012.5247288356,0.5,47,480
10,8,2,542.6089310541448,82,229478.60798617202,6,112,67.8261163817681,10.25,0.8,0.19999999999999996,28684.825998271503,0.6,48,490
10,7,3,467.13041107101265,69,125027.43291150885,6,114,66.73291586728752,9.857142857142858,0.7,0.30000000000000004,17861.061844501262,0.6,49,500
