total_packets,successful_packets,failed_packets,total_latency_ms,total_hops,total_throughput_kbps,qos_met_packets,routing_overhead,avg_latency_ms,avg_hops,pdr,packet_loss_rate,avg_throughput_kbps,qos_satisfaction,total_satellites,planes,sats_per_plane,computation_time_seconds,training_time_seconds
100,89,11,6230.042424892931,947,1992485.0989367831,68,1112,70.00047668419023,10.640449438202246,0.89,0.10999999999999999,22387.47302176161,0.68,16,4,4,0.06859278678894043,0.0539400577545166
100,31,69,1527.4454340892269,230,2164817.7109989556,29,1265,49.272433357717,7.419354838709677,0.31,0.69,69832.82938706309,0.29,32,4,8,0.07707905769348145,0.06251239776611328
100,26,74,1495.9295648966547,214,1169083.1309687938,24,1324,57.53575249602518,8.23076923076923,0.26,0.74,44964.73580649207,0.24,64,8,8,0.0843806266784668,0.06743311882019043
100,10,90,467.04418470430994,66,442702.64096650464,8,1416,46.704418470430994,6.6,0.1,0.9,44270.26409665046,0.08,128,8,16,0.08777475357055664,0.0715334415435791
