total_packets,successful_packets,failed_packets,total_latency_ms,total_hops,total_throughput_kbps,qos_met_packets,routing_overhead,avg_latency_ms,avg_hops,pdr,packet_loss_rate,avg_throughput_kbps,qos_satisfaction,scenario,failures_injected,recovery_time_packets
50,42,8,2788.180515072713,419,1010162.6810249654,29,539,66.38525035887412,9.976190476190476,0.84,0.16000000000000003,24051.49240535632,0.58,Normal (0 Failures),0,1
50,40,10,2741.1538093418935,402,2712543.652335896,28,552,68.52884523354734,10.05,0.8,0.19999999999999996,67813.5913083974,0.56,Single Failure,1,0
50,39,11,2525.0090817219275,375,1695229.404204298,28,540,64.74382260825455,9.615384615384615,0.78,0.21999999999999997,43467.42062062303,0.56,Multiple Failures,3,0
