total_packets,successful_packets,failed_packets,total_latency_ms,total_hops,total_throughput_kbps,qos_met_packets,routing_overhead,mission_completion_ratio,intent_prediction_accuracy,adaptive_resource_allocation_efficiency,avg_latency_ms,avg_hops,pdr,packet_loss_rate,avg_throughput_kbps,qos_satisfaction,intent,priority
100,83,17,6124.450271667343,884,69066.45242131274,21,1139,0.17429999999999998,1.0,0.10745181591330695,73.78855748996799,10.650602409638553,0.83,0.17000000000000004,832.1259327869005,0.21,Low Latency Stream,10
100,84,16,6063.97092983076,876,69260.68169647605,16,1116,0.1344,1.0,0.0698434736029914,72.19013011703285,10.428571428571429,0.84,0.16000000000000003,824.5319249580482,0.16,Critical Disaster Response,10
100,82,18,5684.563173455517,794,797500.6935526396,82,1064,0.6723999999999999,1.0,0.8266901471507464,69.32394113970143,9.682926829268293,0.82,0.18000000000000005,9725.61821405658,0.82,Earth Observation,5
100,83,17,5109.838618330864,702,88746.14603630602,32,957,0.2656,1.0,0.17217616173059153,61.564320702781494,8.457831325301205,0.83,0.17000000000000004,1069.230675136217,0.32,Secure/Resilient Mission,8
100,79,21,5378.700569347929,755,781260.8317842444,79,1070,0.6241000000000001,1.0,0.8297879566662046,68.08481733351809,9.556962025316455,0.79,0.20999999999999996,9889.377617522081,0.79,Environmental Monitoring,4
100,85,15,5382.839972273811,779,957870.6583272928,85,1004,0.7224999999999999,1.0,0.8416811772860643,63.32752908557425,9.16470588235294,0.85,0.15000000000000002,11269.066568556385,0.85,Autonomous Maritime Navigation,7
100,90,10,5334.330126484265,731,107019.85956839629,39,881,0.35100000000000003,1.0,0.2099669546718888,59.270334738714055,8.122222222222222,0.9,0.09999999999999998,1189.109550759959,0.39,Military Reconnaissance,9
100,89,11,6372.955914994825,900,10141335.909401588,89,1065,0.7921,1.0,0.952262502509402,71.60624623589692,10.112359550561798,0.89,0.10999999999999999,113947.5944876583,0.89,Global Internet Services,3
100,89,11,6352.621730651144,901,72816.06217744347,20,1066,0.17800000000000002,1.0,0.09276055560216699,71.37777225450724,10.123595505617978,0.89,0.10999999999999999,818.1580019937469,0.2,Remote Healthcare,9
100,88,12,6176.006229845803,859,9492590.536244608,88,1039,0.7744,1.0,0.9532120740163197,70.1818889755205,9.761363636363637,0.88,0.12,107870.34700277964,0.88,Precision Agriculture,2
100,85,15,6143.936554849386,864,852023.1045556086,85,1089,0.7224999999999999,1.0,0.8192959836809005,72.28160652763984,10.16470588235294,0.85,0.15000000000000002,10023.801230065983,0.85,Industrial IoT,5
