average_latency_ms,throughput_bps,packet_delivery_ratio,routing_stability,spectral_efficiency,energy_consumption_j,energy_per_bit_j,computational_overhead,fairness_index,bandwidth_utilization,mission_completion_ratio,mission_satisfaction_index,intent_prediction_accuracy,resource_allocation_efficiency,mission_priority_preservation,service_continuity,dynamic_resilience,swarm_coordination_efficiency,learning_convergence_speed,computational_complexity,intent_dissemination_overhead,resource_reorganization_rate,encryption_events,gateway_selections,joint_optimization_rate,bandwidth_allocation_events,beam_steering_events,compute_placement_events,constellation_size,traffic_load,processing_time_ms
62.29556984286226,498005280.7757143,96.0,100.0,0.03112533004848214,11.759999999999998,2.3614207427041977e-07,0.0,0.21122298144469906,155.62665024241073,96.0,0.6249643981220546,72.0,62.49643981220545,95.0,48.97959183673469,0,96.0,0,1024,20.0,9.08,90,48,10.0,424,5,23,4x4,50,31.06975555419922
54.3988924090554,807713959.6811517,98.0,100.0,0.050482122480071986,24.009999999999966,2.972586979860792e-07,0.0,0.11548126774995723,252.41061240036,98.0,0.6454283418793862,79.0,64.54283418793861,97.61904761904762,49.494949494949495,0,98.0,0,1024,20.0,7.88,156,98,9.14,758,7,51,4x4,100,159.2254638671875
57.81655938908927,1793335544.1015449,94.5,100.0,0.11208347150634655,46.30500000000001,2.5820600139389227e-07,0.0,0.07867864107269691,560.4173575317328,94.5,0.5609076470844979,67.5,56.09076470844976,94.51219512195121,48.58611825192802,0,94.5,0,1024,20.0,8.45,364,189,9.235,1525,16,117,4x4,200,1143.0165767669678
60.054469515613015,344160149.2794664,46.0,100.0,0.009560004146651844,5.635000000000002,1.6373191410444923e-07,0.0,0.23596312586748108,47.800020733259224,46.0,0.6355338109620402,36.0,63.55338109620402,39.473684210526315,31.506849315068493,0,46.0,0,5184,20.0,11.94,124,23,4.6,192,2,13,6x6,50,54.25453186035156
56.690281501956676,373074685.8148557,43.0,100.0,0.010363185717079325,10.535000000000002,2.823831366899057e-07,0.0,0.275397308518013,51.815928585396605,43.0,0.4998842496888062,27.0,49.98842496888061,41.86046511627907,30.069930069930066,0,43.0,0,5184,20.0,12.01,269,43,4.16,346,5,22,6x6,100,318.1905746459961
62.09451289455984,1044100982.0797483,45.0,100.0,0.029002805057770784,22.04999999999997,2.1118646930183416e-07,0.0,0.1766612851033842,145.01402528885393,45.0,0.47611303778228875,28.000000000000004,47.61130377822886,44.099378881987576,31.03448275862069,0,45.0,0,5184,20.0,12.2,577,90,4.735,790,12,55,6x6,200,1391.739845275879
60.503616568213786,79259445.59589143,22.0,100.0,0.0012384288374358036,2.695,3.400225651010231e-07,0.0,0.18980153002133632,6.19214418717902,22.0,0.4571682316035332,12.0,45.71682316035332,23.809523809523807,18.0327868852459,0,22.0,0,16384,20.0,13.54,210,11,2.18,92,0,6,8x8,50,34.169673919677734
61.99667701157444,227723950.1478993,26.0,100.0,0.0035581867210609268,6.370000000000003,2.7972464011198185e-07,0.0,0.07448350012004076,17.79093360530463,26.0,0.5132891997770357,18.0,51.32891997770358,26.506024096385545,20.634920634920633,0,26.0,0,16384,20.0,13.27,303,26,2.62,217,5,14,8x8,100,588.4561538696289
60.5819330589777,440181727.5060109,27.500000000000004,100.0,0.00687783949228142,13.474999999999994,3.061235657451498e-07,0.0,0.18832167174204423,34.389197461407115,27.500000000000004,0.5763846707012535,20.5,57.638467070125365,27.058823529411764,21.568627450980394,0,27.500000000000004,0,16384,20.0,13.175,649,55,2.76,460,6,31,8x8,200,2048.9449501037598
