total_packets,successful_packets,failed_packets,total_latency_ms,total_hops,total_throughput_kbps,qos_met_packets,routing_overhead,mission_completion_ratio,intent_prediction_accuracy,adaptive_resource_allocation_efficiency,avg_latency_ms,avg_hops,pdr,packet_loss_rate,avg_throughput_kbps,qos_satisfaction,algorithm,phase
100,100,0,1557.6750103615786,223,6471365.904287802,100,223,1.0,1.0,0.8202663881531023,15.576750103615787,2.23,1.0,0.0,64713.65904287802,1.0,Dijkstra,Training
100,58,42,2488.5165393462225,370,2319973.7843190064,44,1000,0.2552,1.0,0.6082606258419149,42.90545757493487,6.379310344827586,0.58,0.42000000000000004,39999.54800550011,0.44,Basic Q-Routing,Training
100,96,4,5305.55093443156,775,1892283.228594902,70,835,0.6719999999999999,1.0,0.5380902666053325,55.266155566995415,8.072916666666666,0.96,0.040000000000000036,19711.283631196897,0.7,Proposed AI-Native,Training
50,50,0,734.0836531880507,108,3835639.6331452187,50,108,1.0,1.0,0.8695720492252272,14.681673063761014,2.16,1.0,0.0,76712.79266290438,1.0,Dijkstra,Failure
50,29,21,1284.7553389806933,192,794671.5694760409,27,507,0.3132,1.0,0.7457244972462521,44.30190824071356,6.620689655172414,0.58,0.42000000000000004,27402.467912966928,0.54,Basic Q-Routing,Failure
50,49,1,2778.7693997884503,399,918851.6699547623,40,414,0.784,1.0,0.6135176149316918,56.70957958751939,8.142857142857142,0.98,0.020000000000000018,18752.074897035967,0.8,Proposed AI-Native,Failure
